Dbp2.1	Dbp2.2	Dbp2.3
YDR097C	14	99	10
YDR098C	25	55	9
YDR099W	383	600	404
YDR100W	6	7	9
YDR119W	11	8	13
YDR124W	8	16	6
YDR127W	119	164	118
YDR129C	236	116	252
YDR133C	123	206	168
YDR135C	34	41	90
YDR137W	9	18	7
YDR138W	65	29	81
YDR141C	28	93	19
YDR144C	9	25	11
YDR145W	7	78	25
YDR150W	19	105	64
YDR151C	65	186	62
YDR153C	9	33	42
YDR158W	22	50	11
YDR161W	9	11	14
YDR168W	11	41	61
YDR170C	164	211	90
YDR171W	165	208	66
YDR172W	119	143	121
YDR174W	81	44	121
YDR175C	6	12	38
YDR176W	26	11	18
YDR177W	50	184	60
YDR178W	54	110	39
YDR186C	51	21	131
YDR188W	46	106	53
YDR189W	25	61	22
YDR190C	71	70	58
YDR194C	82	120	57
YDR204W	19	84	12
YDR206W	19	22	60
YDR208W	68	6	115
YDR210W	13	65	10
YDR211W	44	232	23
YDR212W	115	239	71
YDR213W	34	39	7
YDR221W	29	20	8
YDR224C	205	442	239
YDR225W	345	98	131
YDR226W	139	105	137
YDR232W	103	366	187
YDR233C	246	70	179
YDR234W	6	79	16
YDR235W	18	14	23
YDR237W	12	39	62
YDR238C	203	199	156
YDR251W	126	234	157
YDR258C	210	59	122
YDR262W	29	12	15
YDR264C	133	206	80
YDR270W	32	41	39
YDR276C	262	152	165
YDR278C	769	1542	1349
YDR283C	10	12	21
YDR293C	238	429	277
YDR297W	33	243	68
YDR298C	42	19	22
YDR301W	56	9	70
YDR303C	15	8	23
YDR304C	74	28	32
YDR310C	15	40	35
YDR321W	52	10	56
YDR326C	26	111	12
YDR328C	30	36	10
YDR334W	11	34	41
YDR335W	76	128	73
YDR341C	80	112	51
YDR345C	719	337	288
YDR346C	81	85	93
YDR347W	22	6	11
YDR352W	8	134	31
YDR353W	107	60	105
YDR363W-A	36	81	72
YDR365C	247	433	254
YDR372C	27	42	33
YDR373W	22	22	25
YDR377W	26	25	39
YDR378C	50	135	42
YDR379W	13	15	6
YDR381W	285	235	422
YDR381C-A	20	25	51
YDR382W	478	436	594
YDR384C	12	30	7
YDR385W	1798	1744	1868
YDR389W	38	103	14
YDR395W	21	27	9
YDR397C	20	28	68
YDR399W	97	50	248
YDR404C	45	17	48
YDR405W	11	78	26
YDR407C	9	164	36
YDR408C	32	60	42
YDR412W	7	45	8
YDR418W	368	478	306
YDR420W	77	125	80
YDR422C	54	93	32
YDR427W	31	17	24
YDR429C	55	39	77
YDR430C	22	88	17
YDR432W	57	72	189
YDR447C	357	134	336
YDR450W	447	274	622
YDR451C	28	81	41
YDR452W	21	36	74
YDR454C	41	104	90
YDR457W	108	239	224
YDR461W	31	32	74
YDR463W	21	19	13
YDR466W	15	35	6
YDR471W	346	107	318
YDR472W	12	44	27
YDR477W	22	36	10
YDR481C	152	36	206
YDR482C	14	15	13
YDR483W	186	170	152
YDR485C	8	17	31
YDR490C	9	37	27
YDR496C	34	152	25
YDR497C	130	115	138
YDR500C	299	142	215
YDR508C	133	87	222
YDR510W	55	88	111
YDR516C	9	7	10
YDR517W	29	161	33
YDR524C	22	115	31
YDR528W	11	6	9
YEL071W	161	41	103
YEL063C	29	19	28
YEL060C	312	142	584
YEL056W	8	11	12
YEL055C	112	87	78
YEL054C	483	285	500
YEL053C	51	26	28
YEL051W	50	44	48
YEL047C	61	102	89
YEL046C	435	637	617
YEL042W	111	58	67
YEL040W	339	124	221
YEL038W	40	50	20
YEL037C	26	29	37
YEL033W	58	165	40
YEL032W	33	80	23
YEL031W	288	314	280
YEL027W	325	235	496
YEL026W	151	99	273
YEL023C	7	6	9
YEL022W	14	115	14
YEL017C-A	439	300	388
YEL013W	47	85	39
YEL011W	8	158	19
YEL009C	681	800	639
YEL007W	69	87	18
YEL006W	9	96	26
YEL002C	28	6	43
YEL001C	11	101	59
YER001W	32	71	56
YER003C	89	190	138
YER004W	40	61	84
YER006W	10	8	10
YER008C	19	119	26
YER009W	122	153	47
YER011W	134	344	100
YER012W	36	20	66
YER019W	13	12	40
YER019C-A	64	337	160
YER020W	53	101	53
YER021W	176	178	91
YER023W	40	10	36
YER025W	155	85	185
YER026C	69	48	32
YER036C	211	142	89
YER038C	10	32	21
YER043C	551	594	536
YER044C	21	9	23
YER045C	13	23	11
YER048C	44	85	86
YER048W-A	11	49	8
YER050C	9	19	6
YER051W	7	31	11
YER052C	80	201	36
YER055C	109	180	120
YER056C	259	212	257
YER056C-A	347	293	436
YER059W	16	25	8
YER061C	92	44	248
YER062C	99	53	264
YER064C	162	159	216
YER065C	23	39	50
YER068W	24	25	9
YER070W	197	79	210
YER072W	154	100	240
YER073W	241	127	443
YER074W	414	394	408
YER074W-A	74	8	46
YER075C	29	55	63
YER080W	10	19	20
YER086W	121	27	140
YER088C	81	204	50
YER089C	29	10	23
YER091C	130	279	216
YER093C	15	6	21
YER094C	58	26	27
YER095W	19	17	22
YER097W	29	51	163
YER102W	658	578	660
YER103W	48	20	19
YER105C	38	75	48
YER110C	189	171	121
YER112W	13	49	10
YER117W	326	260	341
YER120W	73	83	105
YER122C	23	12	30
YER124C	79	115	55
YER125W	132	367	102
YER129W	21	148	17
YER130C	72	49	52
YER131W	312	96	353
YER133W	367	126	382
YER136W	82	234	113
YER137W-A	179	85	247
YER143W	6	8	25
YER144C	83	86	27
YER145C	34	35	61
YER148W	13	6	10
YER151C	11	117	31
YER155C	83	148	154
YER158C	59	26	31
YER159C	67	27	43
YER164W	128	85	94
YER165W	659	507	674
YER166W	24	38	32
YER167W	16	36	24
YER172C	93	31	208
YER176W	27	87	19
YER177W	406	343	242
YER178W	203	499	322
YFL049W	6	57	14
YFL048C	10	27	18
YFL045C	212	199	188
YFL039C	1451	1037	1525
YFL038C	55	99	79
YFL037W	192	251	204
YFL036W	16	43	29
YFL034C-A	19	10	83
YFL033C	37	70	18
YFL031W	722	492	915
YFL026W	77	138	16
YFL022C	84	318	94
YFL018C	36	19	21
YFL016C	7	40	33
YFL010C	52	114	54
YFL008W	19	14	9
YFL007W	52	119	61
YFL005W	17	119	25
YFL004W	43	25	78
YFL002C	44	16	80
YFR002W	32	83	37
YFR004W	13	53	60
YFR009W	62	81	54
YFR010W	30	42	67
YFR014C	7	53	15
YFR016C	104	457	91
YFR018C	18	71	13
YFR019W	48	50	91
YFR024C-A	62	126	37
YFR031C	100	8	69
YFR031C-A	678	494	801
YFR040W	63	133	78
YFR044C	56	22	26
YFR045W	20	7	23
YFR050C	68	53	31
YFR051C	51	123	67
YFR052W	55	20	101
YFR055W	80	143	87
YGL254W	26	108	13
YGL253W	826	546	790
YGL252C	26	67	70
YGL245W	426	357	306
YGL244W	34	26	11
YGL238W	43	26	54
YGL234W	395	409	404
YGL233W	12	34	7
YGL232W	13	24	13
YGL228W	10	24	38
YGL226C-A	60	15	77
YGL225W	169	97	111
YGL222C	15	221	23
YGL219C	9	38	25
YGL215W	104	114	186
YGL207W	73	114	147
YGL206C	252	531	291
YGL202W	200	244	290
YGL200C	10	21	21
YGL197W	42	29	22
YGL195W	240	277	370
YGL191W	21	43	21
YGL190C	57	109	96
YGL187C	41	154	109
YGL186C	9	49	19
YGL180W	6	12	7
YGL179C	26	10	65
YGL178W	143	117	173
YGL176C	13	70	33
YGL173C	391	545	348
YGL167C	185	244	331
YGL151W	31	37	41
YGL150C	42	70	35
YGL148W	91	47	99
YGL147C	407	304	349
YGL140C	75	122	17
YGL139W	17	26	8
YGL137W	180	313	254
YGL135W	578	248	395
YGL123W	963	395	797
YGL122C	50	100	96
YGL120C	28	42	24
YGL105W	115	139	181
YGL103W	877	608	1169
YGL098W	64	26	67
YGL097W	17	64	40
YGL095C	8	6	27
YGL092W	19	41	27
YGL088W	176	454	489
YGL086W	64	12	31
YGL083W	38	8	6
YGL082W	50	20	42
YGL078C	38	58	18
YGL077C	37	79	28
YGL076C	807	608	924
YGL071W	18	43	32
YGL067W	16	44	11
YGL065C	18	17	18
YGL062W	81	179	135
YGL056C	41	397	79
YGL055W	587	611	577
YGL054C	89	31	55
YGL049C	8	22	26
YGL048C	110	70	86
YGL043W	41	7	23
YGL040C	53	99	157
YGL039W	19	59	15
YGL038C	35	82	80
YGL037C	189	165	296
YGL036W	32	8	34
YGL035C	13	53	62
YGL031C	484	299	454
YGL030W	553	324	585
YGL028C	131	55	177
YGL027C	17	9	17
YGL026C	87	134	121
YGL022W	187	67	67
YGL014W	23	124	56
YGL013C	12	103	51
YGL012W	41	33	23
YGL011C	63	110	111
YGL009C	496	592	372
YGL008C	5193	3392	4059
YGL006W	195	138	139
YGL005C	19	47	40
YGL003C	8	34	15
YGL001C	37	10	13
YGR007W	21	6	15
YGR008C	52	17	12
YGR014W	37	100	93
YGR017W	30	58	88
YGR020C	27	39	20
YGR023W	118	283	132
YGR024C	33	82	26
YGR027C	418	433	473
YGR032W	494	360	698
YGR033C	47	211	25
YGR034W	361	223	301
YGR036C	34	43	62
YGR037C	130	139	167
YGR040W	12	33	9
YGR046W	11	40	33
YGR047C	15	25	27
YGR054W	52	31	82
YGR055W	174	82	138
YGR056W	52	96	42
YGR057C	25	21	14
YGR060W	187	458	186
YGR061C	764	523	857
YGR063C	22	126	39
YGR082W	32	49	32
YGR083C	36	12	18
YGR085C	134	47	178
YGR086C	414	103	725
YGR089W	68	41	213
YGR090W	38	64	54
YGR094W	462	400	465
YGR097W	26	13	40
YGR103W	131	57	98
YGR106C	61	109	73
YGR108W	67	101	91
YGR116W	62	195	74
YGR117C	8	62	6
YGR118W	493	304	727
YGR119C	11	39	31
YGR121C	6	30	28
YGR122W	20	83	61
YGR124W	301	356	340
YGR130C	39	42	31
YGR132C	15	69	15
YGR135W	111	136	140
YGR136W	27	33	24
YGR138C	64	18	30
YGR142W	268	60	184
YGR143W	44	31	15
YGR145W	7	12	10
YGR146C	59	151	66
YGR148C	279	241	436
YGR155W	279	442	455
YGR157W	217	86	189
YGR159C	165	233	264
YGR161C	52	32	91
YGR162W	150	98	139
YGR167W	20	19	52
YGR175C	236	86	167
YGR178C	35	30	39
YGR180C	365	165	288
YGR184C	266	36	246
YGR185C	136	305	229
YGR186W	31	22	27
YGR187C	55	252	82
YGR188C	33	10	31
YGR189C	405	204	500
YGR191W	39	85	127
YGR192C	8754	4488	7600
YGR193C	50	72	13
YGR194C	59	8	21
YGR198W	20	9	38
YGR200C	10	7	30
YGR204W	361	298	325
YGR207C	11	6	17
YGR208W	16	22	23
YGR209C	71	115	81
YGR211W	167	23	166
YGR214W	431	345	556
YGR215W	13	14	20
YGR218W	92	61	245
YGR229C	20	71	45
YGR231C	28	66	19
YGR232W	14	19	16
YGR233C	12	11	29
YGR234W	75	87	60
YGR237C	14	10	30
YGR240C	1008	970	941
YGR241C	14	11	13
YGR243W	20	103	53
YGR244C	12	58	7
YGR249W	22	35	10
YGR250C	6	18	10
YGR253C	73	13	23
YGR254W	1602	1089	1139
YGR257C	21	105	16
YGR260W	61	152	86
YGR264C	124	84	101
YGR270W	38	50	23
YGR271W	20	29	24
YGR279C	640	612	447
YGR281W	60	113	49
YGR282C	379	254	473
YGR284C	80	43	83
YGR285C	285	938	277
YGR295C	22	49	59
YHL039W	16	6	27
YHL036W	59	24	64
YHL034C	220	210	184
YHL033C	379	182	389
YHL030W	105	25	69
YHL027W	57	37	36
YHL021C	79	163	139
YHL015W	605	452	705
YHL011C	40	56	27
YHL007C	14	17	18
YHL001W	375	211	243
YHR005C-A	118	33	85
YHR007C	275	234	279
YHR008C	32	23	33
YHR009C	27	35	21
YHR010W	351	275	685
YHR013C	15	22	41
YHR016C	61	18	39
YHR017W	10	51	7
YHR018C	115	17	97
YHR019C	401	505	395
YHR020W	101	324	165
YHR021C	371	116	415
YHR023W	11	152	27
YHR025W	50	159	53
YHR026W	111	132	65
YHR027C	105	110	113
YHR029C	7	8	9
YHR030C	136	100	128
YHR032W	14	79	14
YHR037W	7	66	15
YHR039C	15	84	32
YHR039C-A	116	96	78
YHR041C	13	8	18
YHR042W	96	66	164
YHR049W	17	17	34
YHR055C	218	35	145
YHR063C	7	12	15
YHR064C	312	284	276
YHR068W	135	97	88
YHR070W	10	13	15
YHR071W	31	30	23
YHR072W-A	97	60	30
YHR073W	27	39	20
YHR074W	36	34	32
YHR078W	8	53	42
YHR079C	45	22	126
YHR082C	47	59	80
YHR084W	6	35	15
YHR086W	23	51	42
YHR087W	23	17	49
YHR089C	95	56	99
YHR094C	266	105	560
YHR097C	66	108	192
YHR098C	40	39	45
YHR099W	132	69	200
YHR103W	15	11	10
YHR104W	21	28	17
YHR108W	19	25	14
YHR115C	23	12	27
YHR117W	8	12	12
YHR128W	29	8	31
YHR131C	19	104	64
YHR132C	80	21	78
YHR135C	74	40	211
YHR141C	354	568	390
YHR142W	37	37	7
YHR143W	471	305	606
YHR143W-A	12	61	8
YHR145C	116	193	210
YHR146W	23	25	22
YHR155W	31	75	96
YHR158C	15	190	27
YHR162W	139	38	113
YHR163W	44	49	57
YHR165C	78	70	86
YHR170W	27	30	24
YHR174W	7677	4557	6644
YHR179W	415	473	330
YHR180W-A	79	789	181
YHR183W	454	544	281
YHR190W	109	189	122
YHR193C	148	281	139
YHR195W	6	13	10
YHR199C	12	11	23
YHR200W	40	99	51
YHR201C	11	152	8
YHR203C	707	666	729
YHR205W	6	75	24
YHR206W	18	13	72
YHR208W	253	99	211
YHR215W	10	7	6
YIL149C	56	176	103
